artist,twitter,instagram,facebook,spotify,soundcloud,youtube
Jahmene Douglas,5540,0,7409,6270,12,872
Valerie June,15924,30549,86029,67808,3551924,7725
John Newman,309947,261361,1826409,474326,5702387,1571843
Avicii,2107817,8457627,19467119,8133983,1833426,0
Jeremy Loops,72394,137922,155899,79680,29228,62200
Ella Henderson,1159929,290275,568935,518756,30734,463185
Taylor McFerrin,11662,18738,25493,31712,27260,417
Elise Testone,68008,10802,71064,1699,138,3192
Jungle,0,30072,167137,217413,87493,52760
Unspoken,22514,47853,133451,65475,0,101168
Algiers,4450,4860,24544,24282,0,1596
Jordan Feliz,10145,68062,58545,87550,0,122035
Andee,26920,15686,37091,599,75,0
James Bay,440434,953773,958552,1716404,101076,1270179
Ibeyi,31979,134906,181715,179513,12161,121456
Seinabo Sey,13466,46970,77452,96581,26154,101340
Son Little,4518,8175,20381,43330,5626,0
Ravenhill,0,0,0,392,0,0
Chris Stapleton,267758,1011518,1008522,682308,16941,593083
Amanda Black,0,0,0,323,0,0
Matt Corby,0,139087,0,313330,63504,172899
Moses Sumney,19583,80617,42112,75964,32731,15797
Rag'n'Bone Man,0,0,0,4175,0,1657978
Nothing But You,12232,0,89850,3050,1740,0
Frances,20305,13447,32701,48238,7060,49621
Ford & Lopatin,1464,0,0,3394,6934,0
Katie Waissel,0,0,0,0,0,0
Pascal & Pearce,23578,0,28689,1255,0,0
Don Broco,86694,76284,111937,88179,3783,16815
Twelve Foot Ninja,11800,17252,88476,42876,3796,57184
7 Days of Funk,0,0,2307,4289,5,22
The 1975,1932884,1965062,2035204,2188358,956993,1280467
Mystery Skulls,16140,15917,51595,72292,27411,95701
Nathan East,34813,62696,161965,10448,0,6550
Her Majesty & the Wolves,0,0,0,326,0,0
CocknBullKid,0,0,0,758,0,330
The Adults,0,0,0,448,0,498
Amanda Fondell,1335,6874,19426,105376,60,0
Cir.Cuz,0,0,0,85888,0,6903
Mark Stoermer,39527,10509,12651,1729,356,1324
Anthem Lights,76987,0,1665682,197172,0,834878
Avion Roe,16312,12174,99423,11339,312,0
Astro,315219,0,12457,39318,0,717366
Howie Dorough,0,0,0,277,0,0
Dirty Beaches,0,0,31035,34949,282,215
Momoiro Clover Z,1881,0,0,35014,0,212828
We Are the In Crowd,279562,48723,366173,121472,5296,35281
The Joy Formidable,25490,11499,136850,78803,5713,22931
Birdy,322,363432,2488629,2028497,2057865,1896030
Anna Rossinelli,5880,3669,13373,2155,0,1378
Rainbow Arabia,2089,0,7922,4001,2468,101
BiS,1875,0,0,6415,4586,444
Tennis,207384,0,54358,118132,0,0
Chiaki Kuriyama,0,0,0,621,0,0
Collectif Paris-Africa,0,0,0,2038,0,2
Ringo Deathstarr,6112,7021,36793,20262,0,0
Casey Darnell,9051,10497,11386,2194,204,1267
David Lynch,3520122,0,1298946,67293,0,48533
Cults,39149,8738,211821,155412,0,26084
Brite Futures,2304,0,5250,2127,388,874
Girls Names,2827,1832,28348,11104,198,1125
Mia Martina,108064,0,0,13493,6833,22323
Beady Eye,118023,17798,301527,97730,0,48863
