artist,album,single_count
Michael Kiwanuka,Home Again,4
Abu Lahab,Humid Limbs of the Torn Beadsman,0
Headspace,I Am Anonymous,0
God Seed,I Begin,0
Moriah Peters,I Choose Jesus,0
Cold Specks,I Predict a Graceful Expulsion,0
iamthemorning,~,0
Icona Pop,Icona Pop,3
Rapsody,The Idea of Beautiful,0
Eve Ai,"If You Love Me
如果你愛我",3
Desecravity,Implicit Obedience,0
Last Dinosaurs,In a Million Years,6
Military Wives,In My Dreams,0
Chad Price,In This Dream,1
Vivid,Infinity,0
Dot Hacker,Inhibition,0
Niki and the Dove,Instinct,5
The Night Flight Orchestra,Internal Affairs,0
Make Me Famous,It's Now or Never,4
Ivy Quainoo,Ivy,3
Jake Bugg,Jake Bugg,7
Jana Kramer,Jana Kramer,3
Jin Akanishi,Japonicana,2
Jennette McCurdy,Jennette McCurdy,1
Jessica Pratt,Jessica Pratt,0
Brothers McClurg,Join in the Sound,0
Dallas Smith,Jumped Right In,5
Kadavar,Kadavar,0
Eyolf Dale,The Katabatic Wind,0
Sons,Keep Quiet,0
Emel Mathlouthi,Kelmti Horra,0
JJ Doom,Key to the Kuffs,0
Kimberley Chen,Kimberley,0
iamamiwhoami,kin,0
King Tears Bat Trip,King Tears Bat Trip,0
Kis-My-Ft2,Kis-My-1st,3
SKE48,Kono Hi no Chime o Wasurenai (この日のチャイムを忘れない）,8
Robin,Koodi,0
Machine Gun Kelly,Lace Up,3
Sylencer,A Lethal Dose of Truth,0
Josh Osho,L.i.f.e,0
Squackett,A Life Within a Day,0
The Remission Flow,The Light That Floods,0
Lindsey Stirling,Lindsey Stirling,1
Haley Reinhart,Listen Up!,1
Big K.R.I.T.,Live from the Underground,4
Stiftelsen,Ljungaverk,0
"Apologies, I Have None",London,0
Maverick Sabre,Lonely Are the Brave,5
Zowie,Love Demolition,0
Code Orange Kids,Love Is Love/Return to Dust,0
Kira Isabella,Love Me Like That,5
Lukas Graham,Lukas Graham,4
The Lumineers,The Lumineers,3
Kongos,Lunatic,5
Roberto Bellarosa,Ma voie,3
Producers,Made in Basing Street,0
Maluma,Magia,6
Envy,The Magic Soup and the Bittersweet Faces,1
Friends,Manifest!,0
Thank You Scientist,Maps of Non-Existent Places,0
Alina Devecerski,Music Machine,4
Marcus Collins,Marcus Collins,2
Melody's Echo Chamber,Melody's Echo Chamber,4
Leon Thomas III,Metro Hearts,0
Michael Lynche,Michael Lynche,2
Riz MC,Microscope,1
The Midnight Beast,The Midnight Beast,0
Crucified Barbara,The Midnight Chase,0
Milo Greene,Milo Greene,0
Sucré,A Minor Bird,1
Lil Ugly Mane,Mista Thug Isolation,0
Aiden Grimshaw,Misty Eye,2
Villainy,Mode. Set. Clear.,5
Alex & Nilusha,Moments in Time,0
Electric Guest,Mondo,0
Froggy Fresh,Money Maker (Reloaded),0
Death Grips,The Money Store,1
Siobhan Magnus,Moonbaby,0
Moshi Monsters,Music Rox!,8
Karise Eden,My Journey,1
Luca Hänni,My Name Is Luca,0
Farrah Abraham,My Teenage Dream Ended,1
Robin Stjernberg,My Versions,2
Nephew Tommy,Nephew Tommy's Prank Phone Calls: Volume 1,0
Make Them Suffer,Neverbloom,0
"Jay Farrar, Will Johnson, Anders Parker, and Yim Yames",New Multitudes,0
Imagine Dragons,Night Visions,5
Sarah De Bono,Sarah De Bono,1
Noah Stewart,Noah,0
Adrenaline Mob,Omertá,0
Davido,Omo Baba Olowo,7
Taryn Southern,On My Face,0
Chantal Claret,"The One, The Only...",0
Rita Ora,Ora,4
DIIV,Oshin,0
Emeli Sandé,Our Version of Events,5
Diandra,Outta My Head,0
Baptiste Giabiconi,Oxygen,2
Kool A.D.,The Palm Wine Drinkard,0
Cody Simpson,Paradise,2
Elle Varner,Perfectly Imperfect,4
Peter Buck,Peter Buck,0
Pioneer,Pioneer,0
Jay James Picton,Play It by Heart...,0
Future,Pluto,5
The Algorithm,Polymorphic Code,1
Poor Moon,Poor Moon,0
Ne Obliviscaris,Portal of I,0
JK Flesh,Posthuman,0
Inverse Phase,Pretty Eight Machine,0
Scratcha DVA,Pretty Ugly,0
John K. Samson,Provincial,0
Chris Wallace,Push Rewind,2
Laurel Halo,Quarantine,0
Ramin Karimloo,Ramin,0
Cro,Raop,37
Jeremiah Jae,Raw Money Raps,1
The Orwells,Remember When,0
Elitist,Reshape Reason,0
Francesca Michielin,Riflessi di me,3
Points North,Road Less Traveled,0
Royal Southern Brotherhood,Royal Southern Brotherhood,0
The Royal Royal,The Royalty,0
The Rubens,The Rubens,0
Youngblood,Running Home to You,2
Samantha Jade,Samantha Jade,19
Von,Satanic Blood,0
Beautiful Eulogy,Satellite Kite,0
Moxiie,Savage,3
All Sons & Daughters,Season One,0
Levi the Poet,Seasons,0
Iris,Seventeen,3
Dry The River,Shallow Bed,4
Rachael Leahcar,Shooting Star,1
Purity Ring,Shrines,4
Victoria Duffield,Shut Up and Dance,4
Twelve Foot Ninja,Silent Machine,0
Merrymouth,Simon Fowler's Merrymouth,0
Jamie McDell,Six Strings and a Sailboat,6
T & N,Slave to the Empire,0
Aimer,Sleepless Nights,7
Daveed Diggs,Small Things to a Giant,0
Kreayshawn,Somethin' 'Bout Kreay,3
Tayla Alexander,Songbird,0
Pallbearer,Sorrow and Extinction,0
Dan Le Sac,Space Between the Words,3
Freeze the Atlantic,Speakeasy,0
SpeXial,SpeXial,0
World Fire Brigade,Spreading My Wings,0
Mike Scheidt,Stay Awake,0
Crowns,Stitches in the Flag,0
Vintage Blue,Strike the Mics,0
JJAMZ,Suicide Pact,0
People on Vacation,The Summer and the Fall,0
Swearin',Swearin',0
Buffalocomotive,Tears of the Enchanted Mainframe,1
The Touré-Raichel Collective,The Tel Aviv Session,0
The Original Rudeboys,This Life,4
7 Horns 7 Eyes,Throes of Absolution,0
Ren Harvieu,Through The Night,4
Capture the Crown,'Til Death,4
My Ticket Home,To Create a Cure,1
Toy,TOY,0
The Weeknd,Trilogy,3
Totally Enormous Extinct Dinosaurs,Trouble,0
Trust,TRST,0
Diggy Simmons,Unexpected Arrival,5
Unisonic,Unisonic (album),0
Kip Moore,Up All Night,4
Kid Ink,Up & Away,6
Valley of Fear,Valley of Fear,0
Hello Venus,Venus,2
Jesse Kaikuranta,Vie mut kotiin,3
Datsik,Vitamin D,3
AxeWound,Vultures,3
Tebey,The Wait,3
Swoope,Wake Up,0
Clock Opera,Ways to Forget,4
The Overseer,"We Search, We Dig",0
Time Is a Thief,We're Not Strangers,3
Sevi,What Lies Beyond,3
Stepdad,Wildlife Pop,0
Windhand,Windhand,0
Steve Aoki,Wonderland,5
Phillip Phillips,The World from the Side of the Moon,3
Willam Belli,Shartistry in Motion,6
WZRD,WZRD,2
Andain,You Once Told Me,4
Birds in Row,"You, Me & the Violence",0
Andy Moor,Zero Point One,2
1GN,1 Girl Nation,1
Terrace Martin,3ChordFold,1
King Krule,6 Feet Beneath the Moon,0
7 Days of Funk,7 Days of Funk,1
Brandy Clark,12 Stories,3
Def Dee,33 and a Third,0
Palma Violets,180,3
Durag Dynasty,360 Waves,0
The 1975,The 1975,5
Doyle,Abominator,0
Adopted as Holograph,Adopted as Holograph,0
Gesaffelstein,Aleph,2
Black Star Riders,All Hell Breaks Loose,3
Heavatar,Opus I - All My Kingdoms,0
Ivan & Alyosha,All the Times We Had,0
All Things New,All Things New,1
Atoms for Peace,Amok,4
Andy Kaufman,Andy and His Grandmother,0
Anitta,Anitta,4
Crooked I,Apex Predator,1
Boogarins,As Plantas Que Curam,0
Alex Faith,ATLast,0
RÜFÜS,Atlas,4
Bastille,Bad Blood,8
Dimmi Argus,Bad Dream,1
Mamadee,Beautiful Soul,2
Jenny Simmons,The Becoming,0
Bo Bruce,Before I Sleep,3
Broiler,The Beginning,4
Kevin Walker,Belong,0
Love and Death,Between Here & Lost,5
The Rage,Big Spill,0
Arcane Roots,Blood & Chemistry,0
AlunaGeorge,Body Music,4
Chvrches,The Bones of What You Believe,7
Johnny Borrell,Borrell 1,1
Bosnian Rainbows,Bosnian Rainbows,3
Brady Toops,Brady Toops,0
Yohio,Break the Border,2
Feed Me,Calamari Tuesday,2
Capital Kings,Capital Kings,2
Eight Bells,The Captain's Daughter,0
Tim Timmons,Cast My Cares,1
Rodrigo Amarante,Cavalo,0
Kimberley Walsh,Centre Stage,1
Chelsea Light Moving,Chelsea Light Moving,3
The Child of Lov,The Child of Lov,0
Shiritsu Ebisu Chugaku,Chūnin,4
Purson,The Circle and the Blue Door,0
Beastmilk,Climax,0
Logos,Cold Mission,0
Splashh,Comfort,4
Dawid Podsiadło,Comfort and Happiness,4
Body/Head,Coming Apart,0
Heliotropes,A Constant Sea,3
"Goodnight, Sunrise",Create/Destroy/Create,0
Fit for a King,Creation | Destruction,0
Milk Music,Cruise Your Illusion,0
Marnie,Crystal World,1
Wampire,Curiosity,0
Maggie Rose,Cut to Impress,3
Mat Zo,Damage Control,5
Dami Im,Dami Im,1
