label,artist,album,genre,single_count,freq_billboard,freq_genius,freq_theSource,freq_xxl,rating_AOTY,rating_meta,rating_pitch,twitter,instagram,facebook,spotify,soundcloud,youtube
0,Chris Webby,Chemically Imbalanced,hiphop,5,0,0,0,1,,,,144443,116449,296140,146857,6349,187392
0,Clipping,CLPPNG,hiphop,0,0,0,0,1,,73,,27327,0,35297,54624,18533,8666
0,Chuck Inglish,Convertibles,hiphop,3,0,0,10,63,,68,6,90014,44380,21164,22366,21163,12166
1,Cozz,Cozz & Effect,hiphop,4,0,2,25,78,,,,52827,76729,30313,47895,20495,46539
1,Young Fathers,Dead,hiphop,0,4,0,12,220,,83,,82594,20893,75601,81649,22728,27650
0,Charisma.com,Distopping,hiphop,3,0,0,0,0,,,,21534,9459,14137,8960,0,27511
0,Broods,Evergreen,hiphop,3,0,0,0,4,,,,56757,86282,234659,325048,67881,189195
1,Kate Tempest,Everybody Down,hiphop,0,0,0,0,1,,77,,54956,15775,104843,62282,11519,11291
0,Damon Albarn,Everyday Robots,hiphop,5,0,0,0,0,,76,7,248142,291104,400322,162586,93646,69315
0,TV Girl,French Exit,hiphop,1,0,0,0,6,,,,5972,0,21182,38789,11367,0
1,Banks,Goddess,hiphop,4,0,0,2,525,,74,5,485957,475502,470098,660810,1019283,356483
0,Got a Girl,I Love You but I Must Drive Off This Cliff Now,hiphop,2,0,0,0,123,,,,3413,2454,4772,4300,0,1214
1,Bas,Last Winter,hiphop,0,0,0,82,218,,,,106812,0,83725,93671,92729,111702
0,Cash Out,Let's Get It,hiphop,3,5,0,33,525,,,,39157,0,0,7436,48134,0
0,K.Flay,Life As A Dog,hiphop,0,0,0,0,91,,,,58365,83095,121292,170027,1715637,180612
0,Gesu no Kiwami Otome,Miryoku ga Sugoi yo,hiphop,3,0,0,0,0,,,,0,0,0,70927,0,0
1,MKTO,MKTO,hiphop,5,0,0,0,0,,,,217584,94346,503619,514205,32126,27246
1,Kevin Abstract,MTV1987,hiphop,2,0,0,0,42,,,,325598,4155,13876,130986,39993,0
1,YG,My Krazy Life,hiphop,4,1,0,66,146,,,8.1,3043658,3747352,3800528,1089625,134193,2186588
1,Iggy Azalea,The New Classic,hiphop,5,1,0,62,301,,,,8098586,11335718,7520680,2935837,1170659,5297246
0,Tiny Doo,No Safety,hiphop,0,0,0,1,5,,,,0,0,0,384,0,0
1,Stalley,Ohio,hiphop,3,0,0,30,444,,79,,217551,296379,204323,71625,26302,0
0,PE 2.0,People Get Ready,hiphop,0,0,0,10,1,,,,0,0,0,0,0,0
0,Ghetts,Rebel With a Cause,hiphop,4,0,0,0,8,,,,704,147890,123269,52213,3675,25062
1,Sage the Gemini,Remember Me,hiphop,5,0,0,10,26,,69,7.5,272622,620888,1060664,486979,36279,1052731
0,Shtar Academy,Shtar Academy,hiphop,1,0,0,0,0,,,,0,0,10129,1207,0,0
1,Iamsu!,Sincerely Yours,hiphop,2,0,0,5,20,,,6,145865,282471,506583,147282,73607,0
