artist,album,release_date,ratings
Dashboard Confessional,Crooked Shadows,10/02/2018,4.7
Susanna,Go Dig My Grave,10/02/2018,6
Harm's Way,Posthuman,10/02/2018,6.8
Mija ,How to Measure the Distance Between Lovers EP,10/02/2018,7
MGMT,Little Dark Age,09/02/2018,7
Palm,Rock Island ,09/02/2018,6.8
Brigid Mae Power,The Two Worlds,09/02/2018,7.4
Gunna,Drip Season 3,09/02/2018,5.2
Franz Ferdinand,Always Ascending,08/02/2018,6.9
Efrim Manuel Menuck,Pissing Stars,08/02/2018,7.8
Lea Bertucci,Metal Aether,08/02/2018,7.6
Dream Wife,Dream Wife,08/02/2018,6.7
Christoph De Babalon,"If You're Into It, I'm Out of It",07/02/2018,8.4
The Soft Moon,Criminal,07/02/2018,7.2
Caleb Giles,There Will Be Rain ,07/02/2018,7
Kuniyuki Takahashi,Early Tape Works (1986-1993) Vol.1,07/02/2018,6.9
Rich Brian,Amen,06/02/2018,5.9
Portal,ION,06/02/2018,7.8
Kilchhofer,The Book Room,06/02/2018,7.7
K. Leimer,Mitteltoner,06/02/2018,7.5
Rhye,Blood,05/02/2018,6.3
Hookworms,Microshift,05/02/2018,7.9
Kyle Craft,Full Circle Nightmare,05/02/2018,4.1
Helado Negro,Island Universe Story Four,05/02/2018,7.4
La Monte Young,The Well-Tuned Piano,04/02/2018,9.5
Steve Reich,Pulse/Quartet ,03/02/2018,4.9
Anna Burch,Quit the Curse,03/02/2018,6.8
Mukqs,Qi kiShang kari,03/02/2018,7.1
Mammoth Grinder,Cosmic Crypt,03/02/2018,7.6
Justin Timberlake,Man of the Woods,02/02/2018,3.8
H.C. McEntire,Lionheart,02/02/2018,8
Burna Boy,Outside,02/02/2018,7.7
Field Music,Open Here,02/02/2018,7.2
Khruangbin,Con Todo El Mundo,01/02/2018,7.6
Stick in the Wheel,Follow Them True,01/02/2018,7.7
Daniel Avery,Slow Fade EP,01/02/2018,7
Sylvie Courvoisier Trio,D'Agala,01/02/2018,7.4
 JPEGMAFIA,Veteran,31/01/2018,7.7
Domo Genesis,Aren't U Glad You're U?,31/01/2018,4.9
OMB Peezy ,Young & Reckless,31/01/2018,6.8
Meat Beat Manifesto,Impossible Star,31/01/2018,6.9
Migos,Culture II,30/01/2018,6.4
Payroll Giovanni,Big Bossin Vol. 2,30/01/2018,7.8
NADINE,Oh My,30/01/2018,6.6
Dommengang,Love Jail ,30/01/2018,7
No Age,Snares Like a Haircut,29/01/2018,8
Pendant,Make Me Know You Sweet ,29/01/2018,7.8
Ghostface Killah,The Brown Tape,29/01/2018,6
RAMZi,Peze-Piton,29/01/2018,7.7
The Spook School, Could It Be Different?,29/01/2018,6.8
2Pac,All Eyez On Me,28/01/2018,9.4
Fleetwood Mac,Fleetwood Mac ,27/01/2018,9
Hollie Cook,Vessel of Love,27/01/2018,7.4
De Lux,More Disco Songs About Love,27/01/2018,6.1
Evidence,Weather or Not ,27/01/2018,7
Ty Segall,Freedom's Goblin,26/01/2018,8.1
Television Personalities,Beautiful Despair,26/01/2018,6.9
Skream,Fabriclive 96,26/01/2018,5.6
Calexico,The Thread That Keeps Us ,26/01/2018,7.1
Johnny Jewel,Digital Rain,25/01/2018,7.4
Craig David,The Time Is Now,25/01/2018,5.5
Django Django,Marble Skies,25/01/2018,6.9
Tribulation,Down Below ,25/01/2018,8
Nils Frahm,All Melody,24/01/2018,7.8
Curtis Roach,Highly Caffeinated,24/01/2018,6.3
awakebutstillinbed,what people call low self - esteem is really just seeing yourself the way that other people see you,24/01/2018,7.7
Aksak Maboul,Un Peu De L'Ame Des Bandits,24/01/2018,7.2
Tune-Yards,I Can Feel You Creep Into My Private Life,23/01/2018,6.2
The Shins,The Worm's Heart,23/01/2018,6.6
Mudhoney,LiE,23/01/2018,6.9
Chris Dave and the Drumhedz,Chris Dave and the Drumhedz,23/01/2018,6.2
Porches,The House,22/01/2018,6.4
BORNS,Blue Madonna,22/01/2018,5.7
Dave East,Paranoia 2,22/01/2018,7.4
