artist,album,genre,single_count
Lil Peep,Come Over When You're Sober Pt. 1,hiphop,0
Powerflo,Powerflo,hiphop,3
Prophets of Rage,Prophets of Rage,hiphop,0
Mike Shinoda,Post Traumatic,hiphop,2
Maxo Kream,Punken,hiphop,0
Lil Xan,Total Xanarchy,hiphop,4
Rich the Kid,The World Is Yours,hiphop,3
Alexis Jordan,Alexis Jordan,rnb,3
Joe Jonas,Fastlife,rnb,2
Romeo Santos,Formula Vol. 1,rnb,6
Alyssa Reid,The Game,rnb,3
Rebecca Ferguson,Heaven,rnb,6
Nicole Scherzinger,Killer Love,rnb,5
Marsha Ambrosius,Late Nights & Early Mornings,rnb,2
Mohombi,MoveMeant,rnb,5
Katy B,On a Mission,rnb,6
Jamie Grace,One Song at a Time,rnb,2
Selah Sue,Selah Sue,rnb,4
Six60,Six60,rnb,6
Patrick Stump,Soul Punk,rnb,1
Wizkid,Superstar,rnb,6
V. Rose,V. Rose,rnb,0
Jessie J,Who You Are,rnb,7
Jack Vidgen,Yes I am,rnb,1
Allen Stone,Allen Stone,rnb,0
Ania Teliczan,Ania Teliczan,rnb,1
Frank Ocean,Channel Orange,rnb,5
Conor Maynard,Contrast,rnb,4
XL,Dance All Night,rnb,3
Little Mix,DNA,rnb,4
Bridgit Mendler,Hello My Name Is...,rnb,2
Chad Price,In This Dream,rnb,1
Ivy Quainoo,Ivy,rnb,3
Jin Akanishi,Japonicana,rnb,2
Maverick Sabre,Lonely Are the Brave,rnb,5
Leon Thomas III,Metro Hearts,rnb,0
Michael Lynche,Michael Lynche,rnb,2
Karise Eden,My Journey,rnb,1
Luca Hanni,My Name Is Luca,rnb,0
Rita Ora,Ora,rnb,4
Emeli Sande,Our Version of Events,rnb,5
Cody Simpson,Paradise,rnb,2
Elle Varner,Perfectly Imperfect,rnb,4
The Weeknd,Trilogy,rnb,3
AlunaGeorge,Body Music,rnb,4
The Child of Lov,The Child of Lov,rnb,0
Dami Im,Dami Im,rnb,1
Jontte Valosaari,Haastaja,rnb,2
James Arthur,James Arthur,rnb,4
John Wizards (musical group),John Wizards,rnb,2
E-girls,Lesson 1,rnb,5
Hyolyn,Love & Hate,rnb,2
