artist,album,freq_xxl
Skyharbor,Blinding White Noise: Illusion & Chaos,0
Blondes,Blondes,2
Jack White,Blunderbuss,51
Reptar,Body Faucet,0
Main Attrakionz,Bossalinis & Fooliyones,1
Grand Supreme Blood Court,Bow Down Before the Blood Court,0
Chiddy Bang,Breakfast,11
The Gaslamp Killer,Breakthrough,9
Brendon Small,Brendon Small's Galaktikon,0
Steve Harris,British Lion,1
Scott Tixier,Brooklyn Bazaar,0
Emma Hewitt,Burn The Sky Down,2
Eskimo Callboy,Bury Me in Vegas,0
The Cadillac Three,The Cadillac Three,4268
Wolves at the Gate,Captors,0
Delta Rae,Carry The Fire,2
Casey Abrams,Casey Abrams,0
Casey James,Casey James,4
Glory,Celebration,655
My Tiger My Timing,Celeste,0
Kalenna Harper,Chamber of Diaries,0
Frank Ocean,Channel Orange,54
Lawson,Chapman Square,1
Zedd,Clarity,86
Jam City,Classical Curves,0
Soen,Cognitive,4
The Collective,The Collective,604
Christopher,Colours,101
Rhett Walker Band,Come to the River,3
Altars,Conclusions,21
Forever Came Calling,Contender,14
Conor Maynard,Contrast,0
Hubert Wu,Couple Getaway,0
Smitz,Cretin Crossover,0
XL,Dance All Night,146
Half Moon Run,Dark Eyes,4
The Lucky Bullets,Dead Man's Shoes,2
Dead Sara,Dead Sara,0
Being as an Ocean,Dear G-d...,20
Martin Rossiter,The Defenestration of St Martin,14
Jamie Teachenor,The Departure,1
Desmadrados Soldados de Ventura,Desmadrados Soldados de Ventura,0
Dick Valentine,Destroy the Children,0
The Swearengens,Devil Gets Her Way,184
Natalie Duncan,Devil In Me,0
Jessie Ware,Devotion,6
Yotam Ben Horin,Distant Lover,0
Django Django,Django Django,6
Little Mix,DNA,118
Doll$Boxx,Dolls Apartment,0
Meek Mill,Dreams and Nightmares,175
Tal,Le droit de rever,0
Toya Delazy,Due Drop,0
Dustin Lynch,Dustin Lynch,0
Asgeir Trausti,Dyrd i daudathogn,0
An Epic No Less,Echo of Love,194
Edens Edge,Edens Edge,0
Labrinth,Electronic Earth,0
Eme 15,Eme 15,0
Devil Sold His Soul,Empire of Light,9
Spector,Enjoy It While It Lasts,210
Angellore,Errances,0
Romanthica,Eterno,0
I Am I,Event Horizon,88
Clayton Bellamy,Everyone's a Dreamer,0
Gatekeeper,Exo,8
Egoist,Extra terrestrial Biological Entities,0
Crown the Empire,The Fallout,8
Reflections,The Fantasy Effect,3
The Farm,The Farm,79
Loyal Wife,Faux Light,0
Fear and the Nervous System,Fear and the Nervous System,24
Travis Ryan,Fearless,15
The Hood Internet,FEAT,173
Blackburner,Feel the Burn,35
Tulisa,The Female Boss,31
Chief Keef,Finally Rich,96
Flume,Flume,11
Flying Colors,Flying Colors,8
Anwynn,Forbidden Songs,3
One Sonic Society,Forever Reign,1
Husky,Forever So,346
Forgetters,Forgetters,0
Benjamin Gibbard,Former Lives,0
Travis Porter,From Day 1,54
Delilah,From the Roots Up,302
David Lindgren,Get Started,30
Polica,Give You the Ghost,22
Monuments,Gnosis,7
Rye Rye,Go! Pop! Bang!,0
Hands Like Houses,Ground Dweller,0
You Blew It!,Grow Up Dude,650
The Gypsy Queens,The Gypsy Queens,803
Jovi,H.I.V (Humanity is Vanishing),0
Elokuu,Haavaki saapuu,0
Rachael MacFarlane,Hayley Sings,0
Loreen,Heal,56
Bellarive,The Heartbeat,19
Macklemore & Ryan Lewis,The Heist,182
Bridgit Mendler,Hello My Name Is...,14
Gaz Coombes,Here Come the Bombs,3
Florida Georgia Line,Here's to the Good Times,17
The Jellyrox,Heta Himlen,0
Hiphop Tamizha,Hip Hop Tamizhan,0
Michael Kiwanuka,Home Again,15
Abu Lahab,Humid Limbs of the Torn Beadsman,0
Headspace,I Am Anonymous,13
God Seed,I Begin,35
Moriah Peters,I Choose Jesus,0
Cold Specks,I Predict a Graceful Expulsion,0
iamthemorning,~,0
Icona Pop,Icona Pop,1
Rapsody,The Idea of Beautiful,71
Eve Ai,If You Love Me,0
Desecravity,Implicit Obedience,0
Last Dinosaurs,In a Million Years,4051
Military Wives,In My Dreams,3
Chad Price,In This Dream,25
Vivid,Infinity,155
Dot Hacker,Inhibition,0
Niki and the Dove,Instinct,0
The Night Flight Orchestra,Internal Affairs,2
Make Me Famous,It's Now or Never,1049
Ivy Quainoo,Ivy,89
Jake Bugg,Jake Bugg,0
Jana Kramer,Jana Kramer,1
Jin Akanishi,Japonicana,0
Jennette McCurdy,Jennette McCurdy,0
Jessica Pratt,Jessica Pratt,1
Brothers McClurg,Join in the Sound,131
Dallas Smith,Jumped Right In,7
Kadavar,Kadavar,0
Eyolf Dale,The Katabatic Wind,0
Sons,Keep Quiet,120
Emel Mathlouthi,Kelmti Horra,0
JJ Doom,Key to the Kuffs,10
Kimberley Chen,Kimberley,0
iamamiwhoami,kin,45
King Tears Bat Trip,King Tears Bat Trip,0
Kis-My-Ft2,Kis-My-1st,0
SKE48,Kono Hi no Chime o Wasurenai (konoRi nochiyaimuwoWang renai),0
Robin,Koodi,101
Machine Gun Kelly,Lace Up,81
Sylencer,A Lethal Dose of Truth,4
Josh Osho,L.i.f.e,0
Squackett,A Life Within a Day,1855
The Remission Flow,The Light That Floods,64
Lindsey Stirling,Lindsey Stirling,2
Haley Reinhart,Listen Up!,5
Big K.R.I.T.,Live from the Underground,899
Stiftelsen,Ljungaverk,0
Apologies I Have None,London,11
Maverick Sabre,Lonely Are the Brave,1
Zowie,Love Demolition,3
Code Orange Kids,Love Is Love/Return to Dust,1
Kira Isabella,Love Me Like That,1826
Lukas Graham,Lukas Graham,13
The Lumineers,The Lumineers,4
Kongos,Lunatic,15
Roberto Bellarosa,Ma voie,0
Producers,Made in Basing Street,49
Maluma,Magia,5
Envy,The Magic Soup and the Bittersweet Faces,0
Friends,Manifest!,1972
Thank You Scientist,Maps of Non-Existent Places,0
Alina Devecerski,Music Machine,2
Marcus Collins,Marcus Collins,0
Melody's Echo Chamber,Melody's Echo Chamber,0
Leon Thomas III,Metro Hearts,0
Michael Lynche,Michael Lynche,0
Riz MC,Microscope,31
The Midnight Beast,The Midnight Beast,542
Crucified Barbara,The Midnight Chase,0
Milo Greene,Milo Greene,1
Sucre,A Minor Bird,1
Lil Ugly Mane,Mista Thug Isolation,6
Aiden Grimshaw,Misty Eye,1
Villainy,Mode. Set. Clear.,6
Alex & Nilusha,Moments in Time,180
Electric Guest,Mondo,18
Froggy Fresh,Money Maker (Reloaded),0
Death Grips,The Money Store,7
Siobhan Magnus,Moonbaby,0
Moshi Monsters,Music Rox!,0
Karise Eden,My Journey,0
Luca Hanni,My Name Is Luca,9
Farrah Abraham,My Teenage Dream Ended,0
Robin Stjernberg,My Versions,0
Nephew Tommy,Nephew Tommy's Prank Phone Calls: Volume 1,0
Make Them Suffer,Neverbloom,7
Jay Farrar Will Johnson Anders Parker and Yim Yames,New Multitudes,0
Imagine Dragons,Night Visions,7
Sarah De Bono,Sarah De Bono,3
Noah Stewart,Noah,133
Adrenaline Mob,Omerta,0
Davido,Omo Baba Olowo,0
Taryn Southern,On My Face,23
Chantal Claret,The One The Only...,3475
Rita Ora,Ora,66
DIIV,Oshin,0
Emeli Sande,Our Version of Events,12
Diandra,Outta My Head,26
Baptiste Giabiconi,Oxygen,0
Kool A.D.,The Palm Wine Drinkard,0
Cody Simpson,Paradise,3
Elle Varner,Perfectly Imperfect,0
Peter Buck,Peter Buck,4
Pioneer,Pioneer,125
Jay James Picton,Play It by Heart...,33
Future,Pluto,3367
The Algorithm,Polymorphic Code,0
Poor Moon,Poor Moon,2
Ne Obliviscaris,Portal of I,2
JK Flesh,Posthuman,0
Inverse Phase,Pretty Eight Machine,1
Scratcha DVA,Pretty Ugly,0
John K. Samson,Provincial,0
Chris Wallace,Push Rewind,0
Laurel Halo,Quarantine,0
Ramin Karimloo,Ramin,0
Cro,Raop,1
Jeremiah Jae,Raw Money Raps,0
The Orwells,Remember When,637
Elitist,Reshape Reason,0
