artist,album,rating
Teen Creeps,Birthmarks,75
MY,Blizhe,69
Winter,Ethereality,80
Soft as Snow,Deep Wave,80
Little Boots,Burn,61
Bosq,Love and Resistance,76
Ripe,Joy In The Wild Unknown,82
Angie,Suicidal Since 1995,76
Dusted,Blackout Summer,76
JC Flowers,User,72
Vince Ash,Do or Die,75
KOOL-A$$-YEEZU$,the untitled riot of tomorrow,74
Diamond Thug,Apastron,77
Knuckle Puck,Shifted,53
Boerd,Static,68
Oshun,bittersweet vol.1,79
Oberon Rose,Tell Me All About It,59
Great Lakes,Dreaming Too Close to the Edge,60
Johann Johannsson,Englaborn & Variations,85
SG Lewis,Dusk,61
Krakow Loves Adana,Songs After the Blue,74
Lisa Stansfield,Deeper,80
Adam Ackerman,Autobiologist,74
Ebo Taylor,Yen Ara,74
Winterfylleth,The Hallowing of Heirdom,84
Kalmah,Palo,72
No Thank You,All It Takes To Ruin It All,91
Snakehips,Stay Home Tapes,48
Kamelot,The Shadow Theory,60
Kemialliset Ystavat,Siipi Empii,65
Mines Falls,Nepenthe,87
Dreamend,Dreamend,79
Blackberry Smoke,Find A Light,78
En Attendant Ana,Lost and Found,80
J.K. The Reaper,Digital Tears,61
Blithe Field,Days Drift By,71
Sly & Robbie + Nils Petter Molvaer + Eivind Aarset + Vladislav Delay,Nordub,76
Steve Bug & Langenberg,Paradise Sold,70
Andris Nelsons & Gewandhausorchester Leipzig,Brucker: Symphony No. 7 / Wagner: Siegfried's Funeral March,40
Motta,Vivere o Morire,75
SD,Pay Attention,59
Tina Arena,Quand tout recommence,89
Pleasure Model,The Executive,70
Glorior Belli,The Apostates,75
Western Centuries,Songs From the Deluge,80
Glasser,Sextape,78
Sonido Gallo Negro,Mambo Cosmico,70
BOYBOY,Boyboy,66
Matyas Szandai Mathias Levy & Miklos Lukacs,Bartok Impressions,85
Manuel Valera' Trio,The Planets,75
Husalah,H,72
Gus & Vic,Savana,75
X-Wife,X-Wife,90
Spiders,Killer Machine,75
Various Artists,Universal Love - Wedding Songs Reimagined,64
The Longcut,Arrows,75
Mariam the Believer,Soft Moon,81
Chicago,Chicago: VI Decades Live (This Is What We Do),50
Freak Heat Waves,Beyond XXXL,78
Cry Kestrel,Soulburned,0
TOSHIO MATSUURA GROUP,LOVEPLAYDANCE,0
Black Salvation,Uncertainty Is Bliss,0
Exmaid,Fair Sex,0
Matt Douglas,Affirmation (with Discomfort),90
Various Artists,Restoration: Reimagining the Songs of Elton John and Bernie Taupin,85
Peelander-Z,Go Pz Go,0
Dax J,Offending Public Morality,0
Dan Weiss,Starebaby,80
Black Rainbows,Pandaemonium,0
Elvis Presley,Elvis Presley: The Searcher (The Original Soundtrack),80
The Cavemen,Nuke Earth,0
Judee Sill,Judee Sill: Songs of Rapture and Redemption: Rarities & Live,0
Kevin George,Loveland,0
Dark Times,Tell Me What I Need,0
Bug Bus Piano,My song is from the bottom,0
Ian Pace / Simon Limbrick,Floating Drifting,0
The Griswolds,Year After Year,0
Firestations,The Year Dot,40
Caliban,Elements,50
Palm Reader,Braille,50
Benin City,Last Night,60
Rosehardt,Songs in the Key of Solitude,0
Various Artists,Johnny Cash: Forever Words,74
E-40 & B-Legit,Connected & Respected,73
Fluxion,Ripple Effect,70
En Vogue,Electric Cafe,70
Royal Wood,Ever After the Farewell,70
Saba,Care for Me,86
The Caretaker,Everywhere at the End of Time - Stage 4,79
Blush Response,Hearts Grow Dull,77
Ashley Paul,Lost in Shadows,76
Autechre,NTS Session 1,83
Bloody Knives,White Light Black Moon,0
Elg,Vu Du Dome,0
Rui R De Matos,The Same But Different,0
Hoof Glove,Hoof Glove,78
BTS,Face Yourself,43
Frode Haltli,Avant Folk,80
Winner,EVERYD4Y,70
CADE,CADE,75
Urbangarde,Shoujo Fiction,0
AA=,(re:Rec),0
Yuzu,Big Yell,0
Aimi,Aimilion,0
Passepied,Neon to Tora,0
Uri Nakayama,Caldera,0
Bones & Greaf,BREATHINGEXERCISE,0
Lebanon Hanover,Let Them Be Alien,74
Mr. Fingers,Cerebral Hemispheres,69
Steven Gutheinz,Atlas,76
Dean Blunt,BOOKEY,70
Jacquees,This Time I'm Serious,58
El Coyote,El Coyote,80
Edward,Rumours EP,0
The Vexing Grimoire,The Vexing Grimoire,78
Lil Zubin,Misery,67
Oh My Girl,Banana Allergy Monkey,63
Pentagon,Positive,67
Wreck And Reference,Alien Pains,73
